Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-05-02,2016,5,2,Monday,18,2016-18,103.3,104.57,102.8,104.36,5285700,98.46,0.010652572772179791,96.84928571428573,93.39920000000001
2016-05-03,2016,5,3,Tuesday,18,2016-18,103.88,103.99,103.19,103.78,6243300,97.91,-0.00555759136480749,97.13928571428572,93.53900000000002
2016-05-04,2016,5,4,Wednesday,18,2016-18,103.31,104.48,103.2,103.67,6445100,97.81,-0.0010598963791939031,97.4792857142857,93.69539999999999
2016-05-05,2016,5,5,Thursday,18,2016-18,103.98,105.13,103.45,104.93,6466000,99.0,0.012153846009837377,97.90714285714284,93.8748
2016-05-06,2016,5,6,Friday,18,2016-18,104.51,105.74,104.39,105.54,7407500,99.57,0.0058134780857239665,98.18071428571429,94.06139999999999
2016-05-09,2016,5,9,Monday,19,2016-19,106.01,106.68,104.97,105.34,8130300,99.38,-0.0018951848023557316,98.36214285714286,94.25059999999999
2016-05-10,2016,5,10,Tuesday,19,2016-19,105.53,106.75,105.45,106.6,15177200,100.57,0.011961321750964649,98.58642857142856,94.45960000000001
2016-05-11,2016,5,11,Wednesday,19,2016-19,101.46,102.5,100.62,102.29,27068100,96.5,-0.04043150506139148,98.5442857142857,94.54700000000001
2016-05-12,2016,5,12,Thursday,19,2016-19,102.5,102.85,101.13,101.71,11251700,95.96,-0.0056701370384574235,98.40571428571427,94.63600000000001
2016-05-13,2016,5,13,Friday,19,2016-19,101.71,102.04,100.36,100.52,9570200,94.83,-0.01169999574632341,98.13214285714287,94.668
2016-05-16,2016,5,16,Monday,20,2016-20,100.41,100.67,99.37,100.36,9113000,94.68,-0.0015915270872551845,97.82642857142856,94.7034
2016-05-17,2016,5,17,Tuesday,20,2016-20,100.79,101.29,99.55,99.94,8694400,94.29,-0.0041851131996611945,97.46642857142858,94.71379999999999
2016-05-18,2016,5,18,Wednesday,20,2016-20,99.59,99.77,98.36,99.0,9323100,93.4,-0.009405527120734392,97.12714285714286,94.736
2016-05-19,2016,5,19,Thursday,20,2016-20,98.58,98.61,97.51,98.41,7063500,92.84,-0.005959530282039882,96.79999999999998,94.75
2016-05-20,2016,5,20,Friday,20,2016-20,99.0,99.93,98.77,99.78,7297000,94.14,0.013921281469194247,96.49142857142856,94.8018
2016-05-23,2016,5,23,Monday,21,2016-21,99.6,100.33,99.12,99.18,5588600,93.57,-0.006013278228635843,96.18142857142857,94.82520000000001
2016-05-24,2016,5,24,Tuesday,21,2016-21,99.45,100.04,99.38,99.51,5250800,93.88,0.0033273273802156833,95.9007142857143,94.83839999999998
2016-05-25,2016,5,25,Wednesday,21,2016-21,99.92,100.8,99.81,99.86,5667300,94.21,0.003517263203369314,95.55857142857144,94.869
2016-05-26,2016,5,26,Thursday,21,2016-21,99.89,100.49,99.57,99.81,3852600,94.17,-0.0005008670222754752,95.17285714285713,94.895
2016-05-27,2016,5,27,Friday,21,2016-21,99.81,100.53,99.81,100.29,4589100,94.62,0.004809193542715695,94.83285714285715,94.90799999999999
2016-05-31,2016,5,31,Tuesday,22,2016-22,99.85,99.89,98.57,99.22,10396200,93.61,-0.0106690510596118,94.33571428571429,94.9084
2016-06-01,2016,6,1,Wednesday,22,2016-22,98.67,98.99,97.73,98.52,7243900,92.95,-0.007055087418794237,94.08214285714287,94.9096
2016-06-02,2016,6,2,Thursday,22,2016-22,98.07,98.72,97.87,98.72,4830100,93.14,0.002030225688798515,93.88071428571429,94.9312
2016-06-03,2016,6,3,Friday,22,2016-22,98.66,98.92,97.73,98.75,6857500,93.17,0.0003039086419494019,93.76214285714285,94.9676
2016-06-06,2016,6,6,Monday,23,2016-23,98.96,99.12,98.47,98.78,4986600,93.19,0.0003037344183587365,93.6557142857143,94.99700000000001
2016-06-07,2016,6,7,Tuesday,23,2016-23,99.0,99.04,98.32,98.35,5608400,92.79,-0.004353323588512037,93.54857142857142,95.00200000000001
2016-06-08,2016,6,8,Wednesday,23,2016-23,98.49,98.82,97.7,98.04,5466200,92.5,-0.0031517385623365257,93.48428571428572,94.9998
2016-06-09,2016,6,9,Thursday,23,2016-23,97.82,97.93,97.1,97.84,5379400,92.31,-0.0020401652060357822,93.44642857142857,94.9796
2016-06-10,2016,6,10,Friday,23,2016-23,97.15,97.71,96.78,97.34,7204400,91.83,-0.005110261402913374,93.28142857142858,94.94239999999999
2016-06-13,2016,6,13,Monday,24,2016-24,96.75,98.98,96.7,97.57,8766300,92.05,0.0023628047134136576,93.17285714285715,94.91400000000002
2016-06-14,2016,6,14,Tuesday,24,2016-24,97.2,98.55,97.18,98.4,6125700,92.83,0.008506882527874904,93.09785714285714,94.9086
2016-06-15,2016,6,15,Wednesday,24,2016-24,98.19,99.0,98.19,98.27,6663200,92.71,-0.0013213296530930618,92.99071428571428,94.93260000000001
2016-06-16,2016,6,16,Thursday,24,2016-24,97.8,98.63,96.86,98.38,7129700,92.82,0.001119324869848226,92.89428571428572,94.9496
2016-06-17,2016,6,17,Friday,24,2016-24,98.41,99.14,98.27,99.0,8959400,93.4,0.006302211898004062,92.80714285714285,95.00319999999999
2016-06-20,2016,6,20,Monday,25,2016-25,100.08,100.96,99.5,99.57,8268600,93.94,0.005757524766709432,92.8307142857143,95.0626
2016-06-21,2016,6,21,Tuesday,25,2016-25,99.73,99.79,98.77,98.82,5202500,93.23,-0.007532288750053295,92.85071428571429,95.11059999999999
2016-06-22,2016,6,22,Wednesday,25,2016-25,99.08,99.62,98.7,98.79,4948900,93.2,-0.0003036011018674456,92.85499999999999,95.13779999999998
2016-06-23,2016,6,23,Thursday,25,2016-25,99.44,99.62,98.61,99.02,5826100,93.42,0.0023281243246713323,92.87285714285714,95.1292
2016-06-24,2016,6,24,Friday,25,2016-25,96.01,97.28,95.14,95.72,15079900,90.31,-0.033326628398721914,92.66714285714285,95.07440000000001
2016-06-27,2016,6,27,Monday,26,2016-26,94.91,95.23,94.0,94.38,9438400,89.04,-0.01399924539383568,92.39928571428572,94.995
2016-06-28,2016,6,28,Tuesday,26,2016-26,95.46,96.28,95.14,96.05,7143100,90.62,0.017694470725307943,92.265,94.8926
2016-06-29,2016,6,29,Wednesday,26,2016-26,96.91,97.29,96.28,96.98,6563600,91.5,0.009682553781558134,92.20714285714287,94.7858
2016-06-30,2016,6,30,Thursday,26,2016-26,97.1,98.07,96.88,97.82,7189500,92.29,0.008661450217549493,92.24,94.68299999999999
2016-07-01,2016,7,1,Friday,26,2016-26,97.75,98.64,97.71,98.03,5681600,92.49,0.0021469337660600107,92.27142857142857,94.59099999999998
2016-07-05,2016,7,5,Tuesday,27,2016-27,97.77,98.0,97.17,97.66,5846400,92.14,-0.003774451545504043,92.22214285714287,94.47579999999999
2016-07-06,2016,7,6,Wednesday,27,2016-27,97.0,98.52,96.76,98.45,6223300,92.88,0.008089322964797141,92.23428571428572,94.3602
2016-07-07,2016,7,7,Thursday,27,2016-27,97.63,98.48,97.58,98.41,5146000,93.52,0.006855055355875939,92.28428571428572,94.25139999999999
2016-07-08,2016,7,8,Friday,27,2016-27,99.25,99.85,98.77,99.62,6045800,94.67,0.012295391575666503,92.375,94.1582
2016-07-11,2016,7,11,Monday,28,2016-28,99.8,100.35,99.4,99.98,5428000,95.01,0.0036136825109129855,92.45142857142856,94.09539999999998
2016-07-12,2016,7,12,Tuesday,28,2016-28,100.18,100.79,100.0,100.2,8508500,95.22,0.002200552707790404,92.59357142857142,94.05140000000002
2016-07-13,2016,7,13,Wednesday,28,2016-28,100.46,100.8,99.85,99.88,5494700,94.92,-0.0031936666063332453,92.71642857142858,93.98060000000001
2016-07-14,2016,7,14,Thursday,28,2016-28,100.42,100.8,99.68,99.97,7461500,95.0,0.0009010689040398479,92.82928571428572,93.9224
2016-07-15,2016,7,15,Friday,28,2016-28,100.42,100.54,99.54,99.8,5764400,94.84,-0.001700531401005012,93.15285714285714,93.86300000000001
2016-07-18,2016,7,18,Monday,29,2016-29,99.9,100.71,99.87,100.15,5051300,95.17,0.003507010602281424,93.59071428571428,93.7864
2016-07-19,2016,7,19,Tuesday,29,2016-29,99.81,99.99,99.36,99.47,5742700,94.53,-0.006789739955637142,93.87,93.68560000000001
2016-07-20,2016,7,20,Wednesday,29,2016-29,98.65,98.69,97.14,98.22,10664900,93.34,-0.01256663593148899,94.00142857142858,93.56480000000002
2016-07-21,2016,7,21,Thursday,29,2016-29,98.17,99.13,97.62,98.01,6726600,93.14,-0.0021380552500548378,94.06214285714286,93.41619999999999
2016-07-22,2016,7,22,Friday,29,2016-29,98.39,98.42,97.47,97.71,5381700,92.85,-0.003060815419052232,94.08785714285715,93.3432
2016-07-25,2016,7,25,Monday,30,2016-30,97.9,98.06,97.25,97.39,4825500,92.55,-0.0032750524793903057,94.11714285714285,93.275
2016-07-26,2016,7,26,Tuesday,30,2016-30,97.02,97.16,96.34,96.69,6274800,91.88,-0.007187671080313818,94.0457142857143,93.21599999999998
2016-07-27,2016,7,27,Wednesday,30,2016-30,96.7,96.93,95.86,96.33,6911400,91.54,-0.0037231881051945637,93.90428571428572,93.15320000000001
2016-07-28,2016,7,28,Thursday,30,2016-30,96.4,96.49,95.82,95.91,7713500,91.14,-0.004359841254839569,93.65214285714286,93.09020000000001
2016-07-29,2016,7,29,Friday,30,2016-30,95.85,96.38,95.85,95.95,8264000,91.18,0.00041694952993776013,93.37857142857142,93.0458
2016-08-01,2016,8,1,Monday,31,2016-31,96.15,96.2,95.08,95.54,7131600,90.79,-0.004273101998942153,93.06214285714286,93.00479999999999
2016-08-02,2016,8,2,Tuesday,31,2016-31,95.35,95.75,94.56,95.01,7644100,90.29,-0.005547468858091653,92.73142857142857,92.9278
2016-08-03,2016,8,3,Wednesday,31,2016-31,95.06,96.43,95.0,96.09,9068700,91.31,0.011367237256537877,92.46785714285714,92.88259999999998
2016-08-04,2016,8,4,Thursday,31,2016-31,95.53,95.98,94.71,95.16,10038300,90.43,-0.009678321168834603,92.15285714285714,92.81360000000001
2016-08-05,2016,8,5,Friday,31,2016-31,95.4,96.0,95.35,95.83,6528500,91.07,0.007040572701753067,91.86,92.75080000000001
2016-08-08,2016,8,8,Monday,32,2016-32,96.11,96.29,95.58,95.75,7792000,90.99,-0.0008347630032098374,91.60714285714286,92.68720000000002
2016-08-09,2016,8,9,Tuesday,32,2016-32,95.61,96.85,95.3,96.67,15548700,91.87,0.009608381703785751,91.50214285714286,92.63220000000001
2016-08-10,2016,8,10,Wednesday,32,2016-32,96.7,99.27,95.85,97.86,27181300,93.0,0.012309908079519705,91.49214285714285,92.62
2016-08-11,2016,8,11,Thursday,32,2016-32,98.2,98.39,97.15,97.77,9233900,92.91,-0.0009196685517820491,91.49642857142858,92.6192
2016-08-12,2016,8,12,Friday,32,2016-32,97.82,97.82,96.66,96.84,9360300,92.03,-0.009512099066806279,91.45928571428571,92.597
2016-08-15,2016,8,15,Monday,33,2016-33,97.35,97.61,96.92,97.1,5299600,92.27,0.0026847671795171557,91.48714285714286,92.579
2016-08-16,2016,8,16,Tuesday,33,2016-33,96.86,97.25,96.27,96.88,5777800,92.06,-0.002265656070398858,91.52428571428572,92.5564
2016-08-17,2016,8,17,Wednesday,33,2016-33,96.84,96.97,96.52,96.87,5697300,92.06,-0.00010325589196680252,91.59,92.54180000000001
2016-08-18,2016,8,18,Thursday,33,2016-33,96.87,97.12,96.55,96.65,5250700,91.85,-0.0022709525436309663,91.63785714285714,92.5288
2016-08-19,2016,8,19,Friday,33,2016-33,96.4,96.79,96.05,96.39,6362400,91.6,-0.002690127915852325,91.69571428571427,92.51459999999999
